ExpeditionID,StationID,ScientificName,Date,Latitude,Longitude,region,Depth,d13C,d15N,Trophic_group
ACE_2017,211,Odontaster penicillatus,2017-01-03,-49.7331,64.8713,Kerguelen,290,-18.95,14.33,Omnivore
ACE_2017,211,Odontaster penicillatus,2017-01-03,-49.7331,64.8713,Kerguelen,290,-19.71,14.1,Omnivore
ACE_2017,211,Bathybiaster vexillifer,2017-01-03,-49.7331,64.8713,Kerguelen,290,-21.45,8.57,Carnivore1
ACE_2017,211,Smilasterias triremis,2017-01-03,-49.7331,64.8713,Kerguelen,290,-20.25,9.49,Carnivore1
ACE_2017,211,Rhopiella hirsuta,2017-01-03,-49.7331,64.8713,Kerguelen,290,-17.67,12.89,?
ACE_2017,211,Odontaster penicillatus,2017-01-03,-49.7331,64.8713,Kerguelen,290,-18.82,13.5,Omnivore
ACE_2017,213,Odontaster penicillatus,2017-01-03,-49.7278,64.896,Kerguelen,296,-19.68,12.11,Omnivore
ACE_2017,213,Smilasterias triremis,2017-01-03,-49.7278,64.896,Kerguelen,296,-19.98,9.93,Carnivore1
ACE_2017,213,Smilasterias triremis,2017-01-03,-49.7278,64.896,Kerguelen,296,-19.78,10.16,Carnivore1
ACE_2017,213,Labidiaster annulatus,2017-01-03,-49.7278,64.896,Kerguelen,296,-21.57,10.09,Carnivore1
ACE_2017,213,Odontaster penicillatus,2017-01-03,-49.7278,64.896,Kerguelen,296,-17.69,14.35,Omnivore
ACE_2017,213,Odontaster penicillatus,2017-01-03,-49.7278,64.896,Kerguelen,296,-18.79,13.84,Omnivore
ACE_2017,213,Smilasterias triremis,2017-01-03,-49.7278,64.896,Kerguelen,296,-21.1,8.82,Carnivore1
ACE_2017,234,Cheiraster sp,2017-01-04,-50.0021,70.6722,Kerguelen,304,-21.83,7.62,Carnivore1
ACE_2017,270,Solaster sp,2017-01-07,-51.1347,71.8448,Kerguelen,214,-16.26,13.05,Carnivore1
ACE_2017,270,Smilasterias triremis,2017-01-07,-51.1347,71.8448,Kerguelen,214,-18.41,10.72,Carnivore1
ACE_2017,270,Smilasterias triremis,2017-01-07,-51.1347,71.8448,Kerguelen,214,-18.23,10.43,Carnivore1
ACE_2017,270,Smilasterias triremis,2017-01-07,-51.1347,71.8448,Kerguelen,214,-19.73,10.58,Carnivore1
ACE_2017,270,Smilasterias triremis,2017-01-07,-51.1347,71.8448,Kerguelen,214,-19.37,10.61,Carnivore1
ACE_2017,270,Diplasterias meridionalis,2017-01-07,-51.1347,71.8448,Kerguelen,214,-21.6,8.07,Carnivore1
ACE_2017,270,Odontaster penicillatus,2017-01-07,-51.1347,71.8448,Kerguelen,214,-20.09,9.25,Omnivore
ACE_2017,270,Odontaster penicillatus,2017-01-07,-51.1347,71.8448,Kerguelen,214,-20.46,11.15,Omnivore
